Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.26601475  0.46041338  0.73196582  0.63264699  0.81188683 -0.20095818],8.028067831597747
1,1,[ 0.2709685   0.55814525  0.80949881  0.63456916  0.8522889  -0.1318463 ],3.0470188064187034
1,2,[ 0.23973836  0.4915478   0.76889465  0.67974919  0.84832451 -0.08138265],1.4111605541239596
1,3,[ 0.40250543  0.63587392  0.74676958  0.64611465  0.80023757 -0.01161287],1.3906685988383325
1,4,[0.23692828 0.62400523 0.74913773 0.6673859  0.76090773 0.03797281],1.2151626863133058
1,5,[ 0.23871025  0.71150739  0.73253724  0.72758723  0.71683738 -0.01783503],1.1916263364467532
1,6,[ 0.23871025  0.71150739  0.73253724  0.72758723  0.71683738 -0.01783503],1.1916263364467532
1,7,[ 0.185236    0.62426286  0.74844102  0.6241486   0.73141122 -0.01715121],1.1865966121512297
1,8,[ 0.185236    0.62426286  0.74844102  0.6241486   0.73141122 -0.01715121],1.1865966121512297
1,9,[ 0.185236    0.62426286  0.74844102  0.6241486   0.73141122 -0.01715121],1.1865966121512297
1,10,[0.14284732 0.87509878 0.85752184 0.71112023 0.70568924 0.01735941],1.1779669845410097
1,11,[ 0.04878916  0.8188526   0.95440547  0.7956452   0.71389466 -0.00118772],1.105932886176077
1,12,[ 0.03316444  0.85416378  1.          0.84501146  0.79002099 -0.01506859],1.101668464334405
1,13,[0.06154352 0.73595917 0.83865074 0.66649108 0.60029668 0.00117385],1.0982861692484382
1,14,[0.07680129 0.87673211 0.99189581 0.77523905 0.71207928 0.00535073],1.0982152741838973
1,15,[0.07680129 0.87673211 0.99189581 0.77523905 0.71207928 0.00535073],1.0982152741838973
1,16,[0.07680129 0.87673211 0.99189581 0.77523905 0.71207928 0.00535073],1.0982152741838973
1,17,[ 0.04840325  0.70481146  0.87026858  0.65254428  0.63126958 -0.03074162],1.0845407369017672
1,18,[ 0.04840325  0.70481146  0.87026858  0.65254428  0.63126958 -0.03074162],1.0845407369017672
1,19,[ 0.04840325  0.70481146  0.87026858  0.65254428  0.63126958 -0.03074162],1.0845407369017672
1,20,[ 0.04840325  0.70481146  0.87026858  0.65254428  0.63126958 -0.03074162],1.0845407369017672
1,21,[0.07797471 0.8078915  1.         0.87391753 0.69818584 0.06484431],1.078711939152223
1,22,[0.07797471 0.8078915  1.         0.87391753 0.69818584 0.06484431],1.078711939152223
1,23,[0.07797471 0.8078915  1.         0.87391753 0.69818584 0.06484431],1.078711939152223
1,24,[0.07797471 0.8078915  1.         0.87391753 0.69818584 0.06484431],1.078711939152223
1,25,[0.07797471 0.8078915  1.         0.87391753 0.69818584 0.06484431],1.078711939152223
1,26,[-0.00485974  0.66656276  0.86593829  0.64864021  0.57919134  0.02032626],1.0621368714809822
1,27,[-0.00485974  0.66656276  0.86593829  0.64864021  0.57919134  0.02032626],1.0621368714809822
1,28,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,29,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,30,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,31,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,32,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,33,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,34,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,35,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,36,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,37,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,38,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,39,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,40,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,41,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,42,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,43,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,44,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,45,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
1,46,[0.04292334 0.81616399 1.         0.70406702 0.60245099 0.05766029],1.0379878379392977
